,Manhattan,Staten Island,Brooklyn,Queens,Bronx,EWR
238,33304.37258642851,41149.75262609406,14131.43680997153,40865.13971996557,3572.1569402392834,14131.750270518181
239,29416.293753023794,36298.24256139316,12969.642742592534,36062.369754920124,3217.871505011087,12969.532875859895
240,24297.768896278034,29796.823002351048,11139.907891707142,29618.17021903405,2703.370513188133,11139.169449062203
241,18321.31249717676,22247.47597513238,8709.841085927384,22141.542914099984,2011.314171118313,8708.378436811827
242,12590.03872735677,15190.46676959173,6254.864086973127,15160.652591576947,1299.5052892037772,6252.827929978517
243,8755.334611688724,10772.397636170776,4719.556935643264,10785.016176687372,901.3830522205469,4717.362599706971
244,8228.028028060731,10709.565819244626,4894.325232927537,10688.053485964878,1137.0616188612898,4892.499274199132
245,11241.9646819826,15139.511971306996,6840.396032599745,14993.316596532104,2049.4362370052468,6839.321002387158
246,16499.790134514045,22250.18826386961,9723.874844761202,21925.03449763675,3290.6840039904355,9723.594319791238
247,21783.3815452718,29125.808677197143,12252.62325402493,28639.18626233252,4294.057666619978,12252.845910996954
248,25181.67667927354,33342.376173619276,13442.357435550988,32774.35587303749,4632.830423233153,13442.665305902567
249,26089.971870726054,34234.188857837995,13166.56800820256,33676.98123754533,4297.092437341669,13166.689474713105
250,25307.33803355729,32978.99345164813,12110.071877965276,32481.536716864888,3671.8994485208354,12110.037680997937
251,24261.08659244483,31544.288842934744,11210.739068423414,31091.938036309453,3239.8831501440095,11210.830864160806
252,24020.026351265922,31355.322634113792,11043.684471389608,30895.940278251284,3249.8983930782156,11044.234382094792
253,24807.525371852516,32628.483546946183,11580.741933736434,32119.962948099826,3602.0532027281447,11581.931900444757
254,26212.755797585196,34663.2677444679,12403.21021730136,34104.436065886264,4001.36900525775,12404.992992095364
255,27724.653295437132,36619.81015185979,13093.130446891608,36045.533668435804,4212.773159739601,13095.289512821706
256,29069.391379278608,38069.395424996386,13468.63870361044,37521.98613208177,4199.669019801196,13470.914380150141
257,30160.087766898843,38992.17561636522,13554.660518283821,38496.75882682695,4069.1150150856924,13556.854432825196
258,30876.28120438911,39447.604726462356,13431.628146117213,39008.397064266246,3926.4441840670906,13433.644192276404
259,30980.98184336423,39335.93722708917,13147.843503858892,38947.97049208297,3792.4976913527726,13149.672844960634
260,30234.530422236825,38418.208869043134,12728.411628523818,38077.81346145666,3633.712075985964,12730.084789933557
261,28508.778051858117,36433.94339233229,12177.00190601071,36139.44388141892,3427.3734154655663,12178.524601807781
262,25740.319627061977,33128.25451475938,11408.413769478302,32877.067099537955,3168.186654167008,11409.707153988047
263,21826.862069416304,28252.514908081,10204.975388771401,28044.131072192242,2821.1797012246107,10205.860140114823
264,16723.353774728825,21766.677388993987,8345.186201671606,21609.66316430323,2314.3940366323845,8345.449886055661
265,10801.72473169318,14271.978503188588,5896.702401317821,14181.949812891715,1630.4494737181583,5896.242080532657
266,5163.448030791925,7306.867278393116,3434.6031742628015,7287.375604858584,926.9909834503289,3433.5622522827803
267,1457.401699639508,3015.3367286099187,1902.8220209678504,3032.897497183236,537.1823751142316,1901.6087114497755
268,1091.835986622752,3111.1393408217805,2091.1387201716084,3089.445223386917,780.8790167046526,2090.272753567376
269,4298.900787883883,7730.287485425801,4060.5325929765067,7579.0830391750405,1700.9211062169657,4060.3899787683913
270,9780.798403921712,15060.540120103151,6977.344453465055,14725.85806922692,2949.7148575548663,6977.962414527923
271,15319.622963149031,22186.578658806164,9549.88678376773,21686.20420475665,3960.904321274607,9550.967745087477
272,19003.981304896726,26684.248438293493,10794.071624018905,26098.535035541274,4308.0613587376,10795.191489912602
